case_date,case_weekday,case_week_ending,deprivation_lmm,cases,cases_per_100k,cases_mean7,cases_per_100k_mean7
2024-05-31,Friday,2024-06-02,Mid-range deprivation,325,16.2079,424.5714,21.1736
2024-05-31,Friday,2024-06-02,Most deprived,232,14.7877,286.8571,18.284300000000002
2024-05-30,Thursday,2024-06-02,Least deprived,334,22.0625,354.8571,23.4402
2024-05-30,Thursday,2024-06-02,Mid-range deprivation,438,21.8433,430.8571,21.4871
2024-05-30,Thursday,2024-06-02,Most deprived,288,18.3571,292.1429,18.6212
2024-05-29,Wednesday,2024-06-02,Least deprived,397,26.224,358.7143,23.695
2024-05-29,Wednesday,2024-06-02,Mid-range deprivation,475,23.6885,425.4286,21.2164
2024-05-29,Wednesday,2024-06-02,Most deprived,325,20.7155,285,18.1659
2024-05-28,Tuesday,2024-06-02,Least deprived,454,29.9892,344.8571,22.7797
2024-05-28,Tuesday,2024-06-02,Mid-range deprivation,539,26.8802,410.7143,20.4826
2024-05-28,Tuesday,2024-06-02,Most deprived,347,22.1178,275.2857,17.5467
2024-05-27,Monday,2024-06-02,Least deprived,501,33.0938,328.8571,21.7228
2024-05-27,Monday,2024-06-02,Mid-range deprivation,596,29.7229,398.8571,19.8912
2024-05-27,Monday,2024-06-02,Most deprived,415,26.4521,270.1429,17.2189
2024-05-26,Sunday,2024-05-26,Least deprived,276,18.2313,311.5714,20.581
2024-05-26,Sunday,2024-05-26,Mid-range deprivation,307,15.3103,371.5714,18.5305
2024-05-26,Sunday,2024-05-26,Most deprived,216,13.7678,252,16.0625
2024-05-25,Saturday,2024-05-26,Least deprived,220,14.5322,304.5714,20.1186
2024-05-25,Saturday,2024-05-26,Mid-range deprivation,292,14.5622,366.5714,18.2811
2024-05-25,Saturday,2024-05-26,Most deprived,185,11.7919,244.7143,15.5981
2024-05-24,Friday,2024-05-26,Least deprived,302,19.9487,297.4286,19.6468
2024-05-24,Friday,2024-05-26,Mid-range deprivation,369,18.4022,351.8571,17.5473
2024-05-24,Friday,2024-05-26,Most deprived,269,17.1461,234.7143,14.9607
2024-05-23,Thursday,2024-05-26,Least deprived,361,23.846,286.2857,18.9107
2024-05-23,Thursday,2024-05-26,Mid-range deprivation,400,19.9482,347.7143,17.3407
2024-05-23,Thursday,2024-05-26,Most deprived,238,15.1701,227,14.469
2024-05-22,Wednesday,2024-05-26,Least deprived,300,19.8166,272.1429,17.9765
2024-05-22,Wednesday,2024-05-26,Mid-range deprivation,372,18.5518,338.1429,16.8634
2024-05-22,Wednesday,2024-05-26,Most deprived,257,16.3812,222.5714,14.1867
2024-05-21,Tuesday,2024-05-26,Least deprived,342,22.591,272.1429,17.9765
2024-05-21,Tuesday,2024-05-26,Mid-range deprivation,456,22.741,338.5714,16.8847
2024-05-21,Tuesday,2024-05-26,Most deprived,311,19.8231,222.8571,14.2049
2024-05-20,Monday,2024-05-26,Least deprived,380,25.1011,261.1429,17.2499
2024-05-20,Monday,2024-05-26,Mid-range deprivation,405,20.1976,318.5714,15.8873
2024-05-20,Monday,2024-05-26,Most deprived,288,18.3571,208.2857,13.2761
2024-05-19,Sunday,2024-05-19,Least deprived,227,14.9946,243.8571,16.1081
2024-05-19,Sunday,2024-05-19,Mid-range deprivation,272,13.5648,306.2857,15.2746
2024-05-19,Sunday,2024-05-19,Most deprived,165,10.5171,201.1429,12.8208
2024-05-18,Saturday,2024-05-19,Least deprived,170,11.2294,233.5714,15.4287
2024-05-18,Saturday,2024-05-19,Mid-range deprivation,189,9.4255,291,14.5123
2024-05-18,Saturday,2024-05-19,Most deprived,115,7.3301,194.2857,12.3838
2024-05-17,Friday,2024-05-19,Least deprived,224,14.7964,225.2857,14.8813
2024-05-17,Friday,2024-05-19,Mid-range deprivation,340,16.956,283.4286,14.1347
2024-05-17,Friday,2024-05-19,Most deprived,215,13.7041,190.7143,12.1561
2024-05-16,Thursday,2024-05-19,Least deprived,262,17.3065,212.5714,14.0415
2024-05-16,Thursday,2024-05-19,Mid-range deprivation,333,16.6069,260.1429,12.9735
2024-05-16,Thursday,2024-05-19,Most deprived,207,13.1942,174.1429,11.0999
2024-05-15,Wednesday,2024-05-19,Least deprived,300,19.8166,195.4286,12.9091
2024-05-15,Wednesday,2024-05-19,Mid-range deprivation,375,18.7015,237.1429,11.8264
