Statistical area 2 code (2018 areas),European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Total stated,Not Elsewhere Included, Total
156500,834,363,753,2250,51,36,21,15,3852,0,3852
156600,642,96,126,1860,93,60,24,36,2706,0,2706
156700,465,342,663,1368,33,18,15,3,2526,0,2526
156800,216,552,1974,87,9,0,0,0,2451,0,2451
156900,963,219,237,2673,123,60,15,45,3990,0,3990
157000,471,222,606,1557,69,18,15,6,2679,0,2679
157100,2517,225,60,405,36,33,27,9,3015,0,3015
157200,264,369,1491,489,24,9,3,3,2283,0,2283
157300,414,54,132,1551,84,48,18,30,2163,0,2163
157400,2202,222,69,69,12,36,30,6,2346,0,2346
157500,423,387,900,1803,108,57,15,39,3330,0,3330
157600,372,510,282,219,21,12,6,9,1176,0,1176
157700,552,957,3300,735,18,15,9,9,4683,0,4683
157800,681,168,159,2454,111,57,18,39,3369,0,3369
157900,774,642,1734,1692,63,42,30,9,4239,0,4239
158000,654,141,405,1539,81,33,15,15,2637,0,2637
158100,615,216,297,4530,141,48,21,24,5514,0,5514
158200,450,105,156,2154,78,33,15,18,2805,0,2805
158300,744,357,648,1887,108,48,9,36,3381,0,3381
158400,720,1161,2247,747,60,12,3,9,4179,0,4179
158500,1110,504,837,2433,84,33,18,18,4401,0,4401
158600,156,39,39,681,15,15,6,12,876,0,876
158700,600,1089,1896,402,36,27,9,21,3339,0,3339
158800,624,1404,2211,519,27,12,9,3,3960,0,3960
158900,750,75,54,648,15,15,9,6,1443,0,1443
159000,1023,381,639,1038,69,24,12,12,2712,0,2712
159100,738,645,1080,1320,120,18,6,9,3366,0,3366
159200,996,1503,2094,861,87,30,21,12,4605,0,4605
159300,2037,366,417,1482,99,33,18,15,3909,0,3909
159400,1311,216,60,66,9,15,12,0,1428,0,1428
159500,573,942,1713,639,48,21,18,0,3261,0,3261
159600,1185,384,480,747,63,24,9,12,2457,0,2457
159700,303,591,1305,426,18,12,9,3,2271,0,2271
159800,1389,141,45,93,6,24,21,3,1539,0,1539
159900,678,1269,1917,381,45,12,6,6,3471,0,3471
160000,906,1251,1692,717,81,18,12,9,3813,0,3813
160100,942,696,1125,1356,108,27,15,12,3678,0,3678
160200,1218,1566,2172,1032,78,33,18,15,4911,0,4911
