Area_Code,European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Total stated,Not Elsewhere Included, Total
7022332,84,42,3,21,0,0,0,0,126,0,126
7022333,108,36,18,3,3,0,0,0,141,0,141
7022334,105,9,0,6,0,0,0,0,111,0,111
7022335,138,36,6,9,3,3,3,0,165,0,165
7022336,99,36,3,0,0,0,0,0,111,0,111
7022337,159,27,6,3,0,3,3,0,183,0,183
7022338,120,33,6,3,3,3,3,0,135,0,135
7022339,138,75,6,3,3,6,6,0,177,0,177
7022340,93,33,3,6,0,0,0,0,114,0,114
7022341,114,45,0,3,0,3,3,0,135,0,135
7022342,228,60,6,18,0,6,6,0,264,0,264
7022343,48,60,24,3,0,0,0,0,114,0,114
7022344,69,87,24,0,0,0,0,0,123,0,123
7022345,102,102,36,3,0,0,0,0,192,0,192
7022346,105,111,36,0,0,0,0,0,180,0,180
7022347,66,66,24,3,3,0,0,0,123,0,123
7022348,84,138,36,0,3,0,0,0,201,0,201
7022349,87,114,12,6,0,6,3,6,183,0,183
7022350,132,15,9,0,0,0,0,0,135,0,135
7022351,222,15,0,3,3,3,3,0,228,0,228
7022352,159,12,3,3,0,6,6,0,171,0,171
7022353,144,18,6,0,0,3,3,0,153,0,153
7022354,108,9,3,0,0,6,6,0,117,0,117
7022355,141,27,0,0,0,3,3,0,150,0,150
7022356,237,15,3,3,0,9,9,3,252,0,252
7022357,222,36,6,6,3,3,3,0,249,0,249
7022358,165,18,0,0,0,3,3,0,171,0,171
7022359,135,15,6,6,0,0,0,0,147,0,147
7022360,213,36,6,6,0,3,3,0,249,0,249
7022361,141,6,3,6,0,3,3,0,153,0,153
7022362,180,39,12,6,0,0,0,0,207,0,207
7022363,171,42,6,0,3,0,0,0,189,0,189
7022364,201,66,3,15,0,3,3,0,243,0,243
7022365,153,24,6,3,0,0,0,0,162,0,162
7022366,99,12,0,3,0,3,3,0,111,0,111
7022367,216,21,6,3,0,3,3,0,222,0,222
7022368,168,18,3,0,0,0,0,0,174,0,174
7022369,123,9,3,3,0,0,0,0,129,0,129
7022370,108,15,3,0,0,0,0,0,111,0,111
7022371,102,15,0,0,0,3,3,0,108,0,108
7022372,117,27,6,15,0,3,3,0,147,0,147
7022373,138,39,0,3,3,0,0,0,162,0,162
7022374,183,27,9,9,0,3,3,3,207,0,207
7022375,183,18,0,3,0,3,3,0,195,0,195
7022376,171,54,15,0,0,0,0,0,192,0,192
7022377,129,21,6,3,0,0,0,0,141,0,141
7022378,120,9,0,9,0,6,6,0,132,0,132
7022379,174,36,3,9,0,0,0,0,201,0,201
7022380,168,33,3,0,0,3,3,0,186,0,186
7022381,189,36,3,0,0,12,12,0,216,0,216
7022382,120,21,0,9,0,3,3,0,141,0,141
7022383,96,12,6,6,0,0,0,0,102,0,102
7022384,144,42,6,12,0,0,0,0,186,0,186
7022385,189,9,0,6,0,6,6,0,201,0,201
7022386,207,21,6,0,0,6,6,0,219,0,219
7022387,171,54,3,3,0,3,3,0,201,0,201
7022388,156,15,6,3,0,0,0,0,165,0,165
7022389,135,6,3,12,0,3,3,0,150,0,150
7022390,168,18,3,6,0,0,0,0,186,0,186
7022391,195,21,3,6,0,0,0,0,207,0,207
7022392,150,21,0,3,0,3,3,0,162,0,162
7022393,117,15,3,0,0,6,6,0,123,0,123
7022394,165,24,0,3,0,6,6,0,180,0,180
7022395,180,18,3,0,0,3,3,0,189,0,189
7022396,144,24,0,0,3,0,0,0,153,0,153
7022397,114,6,3,0,0,0,0,0,117,0,117
7022398,201,24,0,0,0,0,0,0,207,0,207
7022399,150,18,0,3,0,3,3,0,156,0,156
7022400,177,18,0,3,0,0,0,0,183,0,183
7022401,84,24,0,0,0,12,12,0,102,0,102
7022402,153,27,6,3,0,0,0,0,165,0,165
7022403,84,9,3,0,0,3,3,0,90,0,90
7022404,171,9,6,3,3,0,0,0,177,0,177
7022405,102,9,6,3,0,0,0,0,111,0,111
7022406,168,15,0,0,0,3,3,0,174,0,174
7022407,168,12,0,9,3,6,6,0,180,0,180
7022408,210,6,0,6,0,3,3,0,219,0,219
7022409,147,12,0,0,0,6,6,0,159,0,159
7022410,132,30,3,0,0,0,0,0,153,0,153
7022411,156,15,0,9,3,0,0,0,174,0,174
7022412,123,9,0,3,3,6,0,3,138,0,138
7022413,C,C,C,C,C,C,C,C,C,C,0
7022414,120,15,6,3,0,0,0,0,123,0,123
7022415,153,12,0,9,0,3,3,0,168,0,168
7022416,198,60,9,15,0,6,6,0,237,0,237
7022417,129,15,0,3,0,3,3,0,141,0,141
7022418,129,12,6,3,0,0,0,0,138,0,138
7022419,135,36,9,9,0,3,3,0,162,0,162
7022420,153,36,3,6,0,0,0,0,177,0,177
7022421,183,33,0,15,0,6,6,0,210,0,210
7022422,138,30,3,3,6,3,3,0,150,0,150
7022423,123,18,3,0,0,6,6,0,135,0,135
7022424,87,12,6,6,0,0,0,0,99,0,99
7022425,147,30,9,3,0,0,0,0,162,0,162
7022426,198,54,6,3,0,6,6,0,219,0,219
7022427,93,24,0,3,0,0,0,0,105,0,105
7022428,93,36,6,3,0,0,0,0,111,0,111
7022429,96,6,0,3,3,6,6,0,108,0,108
7022430,147,36,9,3,3,0,0,0,159,0,159
7022431,123,30,0,3,0,0,0,0,135,0,135
7022432,165,33,0,3,0,6,6,0,180,0,180
7022433,141,24,0,0,3,3,3,0,150,0,150
7022434,114,15,3,3,0,9,9,0,126,0,126
7022435,171,33,6,3,0,0,0,0,186,0,186
7022436,129,9,3,3,0,3,3,0,135,0,135
7022437,159,12,0,3,0,0,0,0,159,0,159
7022438,93,12,0,3,3,0,0,0,99,0,99
7022439,129,3,3,6,0,0,0,0,138,0,138
7022440,162,12,3,0,0,3,3,0,171,0,171
7022441,156,12,0,9,0,3,3,0,168,0,168
7022442,177,24,12,6,0,3,3,0,192,0,192
7022443,81,18,3,3,0,0,0,0,93,0,93
7022444,147,21,6,6,3,3,3,0,162,0,162
7022445,117,12,6,3,0,0,0,0,120,0,120
7022446,147,3,0,0,0,6,6,0,159,0,159
7022447,114,12,6,3,3,0,0,0,126,0,126
7022448,108,9,3,0,0,0,0,0,114,0,114
7022449,120,6,0,0,0,0,0,0,123,0,123
7022450,117,15,6,3,0,0,0,0,135,0,135
7022451,195,18,0,6,3,0,0,0,204,0,204
7022452,153,21,3,6,0,6,6,0,168,0,168
7022453,87,39,6,0,0,0,0,0,105,0,105
7022454,51,9,0,3,0,0,0,0,51,0,51
7022455,114,15,0,0,0,0,0,0,120,0,120
7022456,C,C,C,C,C,C,C,C,C,C,0
7022457,108,30,3,3,0,0,0,0,120,0,120
7022458,72,12,0,0,0,0,0,0,75,0,75
7022459,75,21,0,3,0,0,0,0,84,0,84
7022460,180,24,0,0,0,3,3,0,198,0,198
7022461,192,27,6,3,0,3,3,0,204,0,204
7022462,93,6,0,6,0,3,0,0,108,0,108
7022463,129,39,6,6,3,3,3,0,153,0,153
7022464,81,21,9,18,3,0,3,3,114,0,114
7022465,150,72,15,3,0,3,0,3,198,0,198
7022466,144,42,3,6,0,0,0,0,171,0,171
7022467,123,36,12,0,0,0,0,0,150,0,150
7022468,111,21,6,3,0,0,0,0,123,0,123
7022469,150,36,0,9,0,6,6,0,192,0,192
7022470,87,12,0,6,0,3,3,0,90,0,90
7022471,117,3,0,3,0,3,3,0,117,0,117
7022472,144,9,0,3,0,6,6,0,159,0,159
7022473,93,15,3,6,3,3,3,0,108,0,108
7022474,123,12,0,0,0,3,3,0,126,0,126
7022475,171,24,3,0,0,6,6,0,195,0,195
7022476,174,30,0,0,0,6,6,0,177,0,177
7022477,90,9,0,0,0,0,0,0,96,0,96
7022478,C,C,C,C,C,C,C,C,C,C,0
7022479,C,C,C,C,C,C,C,C,C,C,0
7022480,C,C,C,C,C,C,C,C,C,C,3
7022481,C,C,C,C,C,C,C,C,C,C,0
7022482,C,C,C,C,C,C,C,C,C,C,0
7022483,C,C,C,C,C,C,C,C,C,C,0
7022484,C,C,C,C,C,C,C,C,C,C,0
7022485,C,C,C,C,C,C,C,C,C,C,0
7022486,C,C,C,C,C,C,C,C,C,C,0
7022487,C,C,C,C,C,C,C,C,C,C,0
7022488,C,C,C,C,C,C,C,C,C,C,0
7022489,C,C,C,C,C,C,C,C,C,C,3
7022490,9,15,0,0,0,0,C,C,24,0,24
7022491,C,C,C,C,C,C,C,C,C,C,0
7022492,C,C,C,C,C,C,C,C,C,C,0
7022493,C,C,C,C,C,C,C,C,C,C,0
7022494,C,C,C,C,C,C,C,C,C,C,0
7022495,C,C,C,C,C,C,C,C,C,C,0
7022496,C,C,C,C,C,C,C,C,C,C,0
7022497,C,C,C,C,C,C,C,C,C,C,0
7022498,C,C,C,C,C,C,C,C,C,C,0
7022499,C,C,C,C,C,C,C,C,C,C,0
7022500,C,C,C,C,C,C,C,C,C,C,0
7022501,C,C,C,C,C,C,C,C,C,C,0
7022502,C,C,C,C,C,C,C,C,C,C,0
7022503,C,C,C,C,C,C,C,C,C,C,0
7022504,C,C,C,C,C,C,C,C,C,C,0
7022505,60,3,0,0,3,0,0,0,63,0,63
7022506,111,9,0,0,3,0,0,0,117,0,117
7022507,C,C,C,C,C,C,C,C,C,C,0
7022508,225,15,3,3,0,0,0,0,234,0,234
7022509,93,0,0,3,0,3,0,0,96,0,96
7022510,90,12,3,0,0,0,0,0,96,0,96
7022511,192,12,6,6,0,0,0,0,195,0,195
7022512,99,6,0,0,0,3,3,0,99,0,99
7022513,168,3,3,6,0,6,6,0,180,0,180
7022514,C,C,C,C,C,C,C,C,C,C,0
7022515,141,12,0,6,3,0,0,0,147,0,147
7022516,105,6,0,6,0,0,0,0,111,0,111
7022517,C,C,C,C,C,C,C,C,C,C,0
7022518,93,9,0,0,0,0,0,0,96,0,96
7022519,153,12,0,0,3,0,0,0,159,0,159
7022520,138,3,0,3,0,3,3,0,144,0,144
7022521,138,18,0,3,0,0,0,0,147,0,147
7022522,90,12,3,0,0,0,0,0,96,0,96
7022523,102,12,0,6,0,3,3,0,111,0,111
7022524,123,12,0,0,3,0,0,0,126,0,126
7022525,84,6,0,6,0,0,0,0,87,0,87
7022526,60,6,0,0,3,0,0,0,63,0,63
7022527,48,3,0,0,0,0,0,0,48,0,48
7022528,C,C,C,C,C,C,C,C,C,C,0
7022529,C,C,C,C,C,C,C,C,C,C,0
